State,Strata,Year,WaterAccessPercent,WaterConsumptionMLD
Johor,overall,2000,99.0,560.0
Johor,rural,2000,98.0,560.0
Johor,urban,2000,100.0,560.0
Johor,overall,2001,99.7,560.0
Johor,rural,2001,99.0,560.0
Johor,urban,2001,100.0,560.0
Johor,overall,2002,99.6,560.0
Johor,rural,2002,99.0,560.0
Johor,urban,2002,100.0,560.0
Johor,overall,2003,99.7,560.0
Johor,rural,2003,99.0,560.0
Johor,urban,2003,100.0,560.0
Johor,overall,2004,99.4,610.0
Johor,rural,2004,98.0,610.0
Johor,urban,2004,100.0,610.0
Johor,overall,2005,99.5,621.0
Johor,rural,2005,99.0,621.0
Johor,urban,2005,100.0,621.0
Johor,overall,2006,99.5,644.0
Johor,rural,2006,99.0,644.0
Johor,urban,2006,100.0,644.0
Johor,overall,2007,99.8,664.0
Johor,rural,2007,99.5,664.0
Johor,urban,2007,100.0,664.0
Johor,overall,2008,99.8,682.0
Johor,rural,2008,99.5,682.0
Johor,urban,2008,100.0,682.0
Johor,overall,2009,99.8,713.0
Johor,rural,2009,99.5,713.0
Johor,urban,2009,100.0,713.0
Johor,overall,2010,99.8,730.0
Johor,rural,2010,99.5,730.0
Johor,urban,2010,100.0,730.0
Johor,overall,2011,99.8,738.0
Johor,rural,2011,99.5,738.0
Johor,urban,2011,100.0,738.0
Johor,overall,2012,99.8,769.0
Johor,rural,2012,99.5,769.0
Johor,urban,2012,100.0,769.0
Johor,overall,2013,99.8,797.0
Johor,rural,2013,99.5,797.0
Johor,urban,2013,100.0,797.0
Johor,overall,2014,99.8,823.0
Johor,rural,2014,99.5,823.0
Johor,urban,2014,100.0,823.0
Johor,overall,2015,99.8,811.0
Johor,rural,2015,99.5,811.0
Johor,urban,2015,100.0,811.0
Johor,overall,2016,99.8,773.0
Johor,rural,2016,99.5,773.0
Johor,urban,2016,100.0,773.0
Johor,overall,2017,99.8,785.0
Johor,rural,2017,99.5,785.0
Johor,urban,2017,100.0,785.0
Johor,overall,2018,99.8,809.0
Johor,rural,2018,99.5,809.0
Johor,urban,2018,100.0,809.0
Johor,overall,2019,99.8,835.0
Johor,rural,2019,99.5,835.0
Johor,urban,2019,100.0,835.0
Johor,overall,2020,99.9,867.0
Johor,rural,2020,99.8,867.0
Johor,urban,2020,100.0,867.0
Johor,overall,2021,99.9,879.0
Johor,rural,2021,99.8,879.0
Johor,urban,2021,100.0,879.0
Johor,overall,2022,99.9,867.0
Johor,rural,2022,99.8,867.0
Johor,urban,2022,100.0,867.0
Kedah,overall,2000,96.0,388.0
Kedah,rural,2000,97.0,388.0
Kedah,urban,2000,100.0,388.0
Kedah,overall,2001,98.2,388.0
Kedah,rural,2001,97.0,388.0
Kedah,urban,2001,100.0,388.0
Kedah,overall,2002,98.7,388.0
Kedah,rural,2002,98.0,388.0
Kedah,urban,2002,100.0,388.0
Kedah,overall,2003,99.4,388.0
Kedah,rural,2003,99.0,388.0
Kedah,urban,2003,100.0,388.0
Kedah,overall,2004,99.3,412.0
Kedah,rural,2004,98.0,412.0
Kedah,urban,2004,100.0,412.0
Kedah,overall,2005,99.5,420.0
Kedah,rural,2005,99.0,420.0
Kedah,urban,2005,100.0,420.0
Kedah,overall,2006,99.0,434.0
Kedah,rural,2006,99.0,434.0
Kedah,urban,2006,100.0,434.0
Kedah,overall,2007,96.0,471.0
Kedah,rural,2007,92.5,471.0
Kedah,urban,2007,100.0,471.0
Kedah,overall,2008,97.0,470.0
Kedah,rural,2008,95.0,470.0
Kedah,urban,2008,100.0,470.0
Kedah,overall,2009,98.0,474.0
Kedah,rural,2009,96.3,474.0
Kedah,urban,2009,100.0,474.0
Kedah,overall,2010,98.2,444.0
Kedah,rural,2010,96.3,444.0
Kedah,urban,2010,100.0,444.0
Kedah,overall,2011,98.2,459.0
Kedah,rural,2011,96.3,459.0
Kedah,urban,2011,100.0,459.0
Kedah,overall,2012,98.2,474.0
Kedah,rural,2012,96.3,474.0
Kedah,urban,2012,100.0,474.0
Kedah,overall,2013,98.3,487.0
Kedah,rural,2013,96.5,487.0
Kedah,urban,2013,100.0,487.0
Kedah,overall,2014,98.3,510.0
Kedah,rural,2014,96.5,510.0
Kedah,urban,2014,100.0,510.0
Kedah,overall,2015,98.3,511.0
Kedah,rural,2015,96.5,511.0
Kedah,urban,2015,100.0,511.0
Kedah,overall,2016,98.3,525.0
Kedah,rural,2016,96.5,525.0
Kedah,urban,2016,100.0,525.0
Kedah,overall,2017,98.3,523.0
Kedah,rural,2017,96.5,523.0
Kedah,urban,2017,100.0,523.0
Kedah,overall,2018,98.3,544.0
Kedah,rural,2018,96.5,544.0
Kedah,urban,2018,100.0,544.0
Kedah,overall,2019,98.3,551.0
Kedah,rural,2019,96.5,551.0
Kedah,urban,2019,100.0,551.0
Kedah,overall,2020,98.3,574.0
Kedah,rural,2020,96.5,574.0
Kedah,urban,2020,100.0,574.0
Kedah,overall,2021,98.3,590.0
Kedah,rural,2021,96.5,590.0
Kedah,urban,2021,100.0,590.0
Kedah,overall,2022,98.3,560.0
Kedah,rural,2022,96.5,560.0
Kedah,urban,2022,100.0,560.0
Kelantan,overall,2000,53.0,94.0
Kelantan,rural,2000,48.0,94.0
Kelantan,urban,2000,63.0,94.0
Kelantan,overall,2001,57.5,94.0
Kelantan,rural,2001,52.0,94.0
Kelantan,urban,2001,68.0,94.0
Kelantan,overall,2002,61.7,94.0
Kelantan,rural,2002,57.0,94.0
Kelantan,urban,2002,71.0,94.0
Kelantan,overall,2003,62.1,94.0
Kelantan,rural,2003,57.0,94.0
Kelantan,urban,2003,72.0,94.0
Kelantan,overall,2004,63.8,102.0
Kelantan,rural,2004,56.0,102.0
Kelantan,urban,2004,71.0,102.0
Kelantan,overall,2005,70.0,111.0
Kelantan,rural,2005,60.0,111.0
Kelantan,urban,2005,80.0,111.0
Kelantan,overall,2006,72.0,116.0
Kelantan,rural,2006,65.0,116.0
Kelantan,urban,2006,79.0,116.0
Kelantan,overall,2007,53.0,120.0
Kelantan,rural,2007,52.1,120.0
Kelantan,urban,2007,55.5,120.0
Kelantan,overall,2008,54.2,122.0
Kelantan,rural,2008,53.2,122.0
Kelantan,urban,2008,56.3,122.0
Kelantan,overall,2009,55.7,124.0
Kelantan,rural,2009,54.7,124.0
Kelantan,urban,2009,57.7,124.0
Kelantan,overall,2010,55.5,124.0
Kelantan,rural,2010,55.2,124.0
Kelantan,urban,2010,56.2,124.0
Kelantan,overall,2011,57.3,123.0
Kelantan,rural,2011,57.4,123.0
Kelantan,urban,2011,56.9,123.0
Kelantan,overall,2012,59.9,130.0
Kelantan,rural,2012,60.8,130.0
Kelantan,urban,2012,57.9,130.0
Kelantan,overall,2013,61.5,140.0
Kelantan,rural,2013,63.4,140.0
Kelantan,urban,2013,59.5,140.0
Kelantan,overall,2014,63.2,154.0
Kelantan,rural,2014,65.1,154.0
Kelantan,urban,2014,61.3,154.0
Kelantan,overall,2015,64.0,159.0
Kelantan,rural,2015,66.4,159.0
Kelantan,urban,2015,61.5,159.0
Kelantan,overall,2016,64.7,163.0
Kelantan,rural,2016,67.7,163.0
Kelantan,urban,2016,61.7,163.0
Kelantan,overall,2017,68.0,162.0
Kelantan,rural,2017,74.4,162.0
Kelantan,urban,2017,61.5,162.0
Kelantan,overall,2018,69.3,164.0
Kelantan,rural,2018,76.2,164.0
Kelantan,urban,2018,62.4,164.0
Kelantan,overall,2019,70.7,163.0
Kelantan,rural,2019,77.8,163.0
Kelantan,urban,2019,63.5,163.0
Kelantan,overall,2020,70.7,170.0
Kelantan,rural,2020,78.9,170.0
Kelantan,urban,2020,64.5,170.0
Kelantan,overall,2021,73.1,171.0
